text,url
"The Economic TimesStock market update: 104 stocks hit 52-week highs on NSEOverall, 32 shares were trading in green in Nifty50 index, while 18 were trading in red in the afternoon trade..24 Dec 2020",https://m.economictimes.com/markets/stocks/news/stock-market-update-104-stocks-hit-52-week-highs-on-nse/articleshow/79936955.cms
"mintSensex zooms 437 points, Nifty ends above 13,600; broader indices outperform | Stock Market NewsHaving opened in the red, Indian benchmark indices quickly reversed losses to surge higher on Wednesday. The Sensex today hit a high of 46513.32 and a low....23 Dec 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-23-12-2020-nifty-nse-bse-news-updates-11608690428718.html
"The Economic TimesStock market update: 45 stocks hit 52-week highs on NSEOverall, 33 shares were trading in green in Nifty50 index, while 17 were trading in red in the afternoon trade..23 Dec 2020",https://m.economictimes.com/markets/stocks/news/stock-market-update-45-stocks-hit-52-week-highs-on-nse/articleshow/79914147.cms
"mintIndices recover; Sensex reclaims 46K, Nifty ends above 13,450 as IT stocks shine | Stock Market NewsIndia's benchmark equity indices--Sensex and Nifty--staged a sharp recovery to end up 1% each, led by gains in IT and pharma stocks..22 Dec 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-22-12-2020-nifty-nse-bse-news-updates-11608604647998.html
"Business StandardMARKETS: Sensex leaps 895 pts from day's low, settles 453 pts up at 46,007The broader Nifty50, on the other hand, clawed back above the 13400-mark and closed at 13466 level, up 138 points or 1.03 per cent..22 Dec 2020",https://www.business-standard.com/article/markets/market-live-markets-today-sensex-nifty-us-stimulus-uk-covid-tata-motors-120122200127_1.html
"UpstoxMarket recap for 21 December 2020Nifty50 13,328 ▽ -432 (-3.1%). Sensex 45,553 ▽ -1406 (-3%). Today, the markets witnessed the biggest single-day fall since May 2020. All of the Nifty50....21 Dec 2020",https://upstox.com/market-talk/market-recap-for-21-december-2020/
"MoneycontrolSensex, Nifty see biggest single day fall since May 2020 on new coronavirus strain discovery in UKIn May this year, the Sensex was down little more than 2000 points and majority of biggest falls were seen in 2020 itself due to COVID-19 pandemic..21 Dec 2020",https://www.moneycontrol.com/news/business/markets/sensex-nifty-see-biggest-single-day-fall-since-may-2020-on-new-coronavirus-strain-discovery-in-uk-6254391.html
"MoneycontrolClosing Bell: Bloodbath on Street with Sensex plunging 1,406 pts, Nifty below 13,350 on renewed COVID fearsAll the sectoral indices ended in the red. Nifty PSU Bank index shed 7 percent, while Metal, Infra, Bank, Auto and Energy indices fell 4-5 percent..21 Dec 2020",https://www.moneycontrol.com/news/business/share-market-live-updates-stock-market-today-december-21-latest-news-bse-nse-sensex-nifty-ril-infosys-pnb-lupin-snowman-logistics-emami-pvr-india-grid-exide-6250761.html
"Business StandardSensex cracks 1,407 pts as Covid-19 fears resurface; Nifty holds 13,300InterGlobe Aviation and SpiceJet sunk up to 10 per cent on the BSE after India suspended flights from the UK till December 31..21 Dec 2020",https://www.business-standard.com/article/markets/market-live-markets-today-sensex-nifty-us-stimulus-uk-covid-sci-antony-ipo-120122100105_1.html
"mintSensex hits 45k, Nifty ends above 13,250 as RBI revises GDP forecast | Stock Market NewsIndian benchmark equity indices hit fresh highs on Friday after the Reserve Bank of India revised upwards its GDP target for the current fiscal year..4 Dec 2020",https://www.livemint.com/market/stock-market-news/sensex-nifty-live-today-04-12-2020-nifty-nse-bse-bank-stocks-rbi-policy-news-updates-11607050191428.html
freefincalNifty500 Multicap 50:25:25 Index ReviewThe index is essentially a mixture of three indices: 50% of Nifty 100 plus 25% of Nifty Midcap 150 and 25% of Nifty Smallcap 250 TRI..4 Dec 2020,https://freefincal.com/nifty500-multicap-50-25-25-index/
"mintSensex ends flat, Nifty holds 13,100; banks, financial stocks weigh | Stock Market NewsIndia's benchmark equity indices ended weak Wednesday, after a record rally the previous day. Banks and financial stocks were the worst hit while Nifty....2 Dec 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-02-12-2020-nifty-nse-bse-news-updates-11606875312659.html
"mintSensex, Nifty end lower in choppy trade; broader indices outperform | Stock Market NewsIndia's benchmark equity indices ended lower Friday, after swinging between looses and gains through the day, ahead of GDP data..27 Nov 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-27-11-2020-nifty-nse-bse-news-updates-11606444553969.html
"CNBC TV18Q2 Review: 34 stocks in the Nifty50 index saw EBITDA margin expansion in September quarterIn a recent report, brokerage house Motilal Oswal pointed out that 34 out of 50 companies in the Nifty50 index have seen an expansion in EBITDA margin. ... In the....27 Nov 2020",https://www.cnbctv18.com/market/q2-review-34-stocks-in-the-nifty50-index-saw-ebitda-margin-expansion-in-september-quarter-7584931.htm
"Zee BusinessNSE Nifty, Bank Nifty Strategy Today: From expiry date, FIIs, DIIs, PCR to VIX, Market Guru Anil Singhvi de...On Nifty and Bank Nifty strategy, Zee Business Managing Editor Anil Singhvi says global indicators are neutral. Meanwhile, the indicators around Foreign....26 Nov 2020",https://www.zeebiz.com/india/news-nse-nifty-bank-nifty-strategy-today-from-expiry-date-fiis-diis-pcr-to-vix-market-guru-anil-singhvi-decodes-impact-141954
"mintSensex soars 1% to end above 44K, Nifty closes a tad below 13,000; metals shine | Stock Market NewsWelcome to the Mint live blog. Track this space for the latest stock market updates. 26 Nov 2020, 03:53:32 PM IST. Nifty ends November series near 13,000,....26 Nov 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-26-11-2020-nifty-nse-bse-news-updates-11606358292525.html
"Business StandardSensex tanks 997 pts from day's high, breaches 44K; Nifty ends at 12,858After scaling fresh record highs in the morning trade, the domestic equity market tumbled around 1.5 per cent on Wednesday as investors booked profit....25 Nov 2020",https://www.business-standard.com/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-tcs-dow-jones-120112500129_1.html
"mintSensex slumps 700 pts, Nifty ends 1.5% lower; investors lose ₹2 trln in a day | Stock Market NewsWelcome to the Mint live blog. Track this space for the latest stock market updates. 25 Nov 2020, 04:06:32 PM IST. Sensex falls 700 pts, Nifty sub-12,900 on....25 Nov 2020",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-25-11-2020-nifty-nse-bse-news-updates-11606271929578.html
